# BEAST v1.6.1, Build r3651
# Generated Thu Apr 28 21:40:57 NZST 2011 [seed=1303983656504]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(untitled1)	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	treeLikelihood	coalescent
0	-6279.341340780118	24.819284008130758	-6304.160624788249	0.25970489124732066	0.06313026854054327	0.054	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	-6304.160624788249	23.76587280968718
1000	-3780.6011593729495	24.019654464594137	-3804.6208138375437	0.051584729434442055	0.037877477886080486	0.14119591377885302	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	-3804.6208138375437	23.92740760498343
2000	-3548.7430955708546	31.647307873825607	-3580.39040344468	0.04647699712303821	0.03400253358703776	0.10623342528019307	2.0	0.24950042736679678	0.24623931351076486	0.2500000001	0.2542602590224384	1.0	-3580.39040344468	31.270551427090542
3000	-3536.1386943090056	29.236173930324114	-3565.3748682393298	0.045173801725280946	0.033685802977579955	0.10034677273132399	2.3960048711774355	0.2520094748613312	0.24623931351076486	0.2474909526054656	0.2542602590224384	1.0	-3565.3748682393298	28.95803160541135
4000	-3521.6248650393422	30.563044577940133	-3552.1879096172825	0.04260387126602376	0.03121034416759014	0.11892881254935458	3.8693007839882863	0.2520094748613312	0.24623931351076486	0.2474909526054656	0.2542602590224384	1.0	-3552.1879096172825	30.96886185643286
5000	-3518.943170424927	30.978671165283867	-3549.9218415902105	0.04286054480296482	0.031597321196824645	0.076663120769405	3.8693007839882863	0.2518090083927086	0.24623931351076486	0.24305206886506622	0.2588996092314603	1.0	-3549.9218415902105	30.945384111888977
6000	-3524.277112055951	28.895492170544017	-3553.172604226495	0.04835782762187149	0.030098050864622288	0.13781000738407204	3.8693007839882863	0.24705941262504114	0.24359502377003658	0.2530635393211663	0.25628202428375596	1.0	-3553.172604226495	29.448660327266087
7000	-3515.948812112466	34.11021158387348	-3550.0590236963394	0.04310735176442672	0.02844665350247423	0.06724911539225721	3.8693007839882863	0.24705941262504114	0.23879708089886473	0.25133831490691977	0.2628051915691744	1.0	-3550.0590236963394	33.94590762650391
8000	-3516.6269375685774	31.1628530804506	-3547.789790649028	0.04616279786461065	0.030632542242057928	0.10677939367015024	3.8693007839882863	0.24705941262504114	0.23123524572543086	0.25890015008035366	0.2628051915691744	1.0	-3547.789790649028	31.460910223450856
9000	-3510.222672933364	32.15265712978122	-3542.375330063145	0.04608516925767857	0.025701305865540015	0.10348026525178415	3.8693007839882863	0.24705941262504114	0.2300707633378425	0.26081032358050427	0.2620595004566122	1.0	-3542.375330063145	32.41933022866373
10000	-3515.817167761576	33.14969374476244	-3548.9668615063383	0.04201482039528576	0.022144417237133705	0.10537747746404383	3.8693007839882863	0.24705941262504114	0.2300707633378425	0.26081032358050427	0.2620595004566122	1.0	-3548.9668615063383	33.43453484998961
11000	-3509.475025529731	32.07217913950056	-3541.547204669231	0.0469484843081248	0.026463983570775416	0.10068499305542486	3.8693007839882863	0.24705941262504114	0.2300707633378425	0.2559547709631819	0.26691505307393454	1.0	-3541.547204669231	32.31146808011112
12000	-3507.753517890692	30.074073201307055	-3537.827591091999	0.04722254327442205	0.030964404648532035	0.08844922288364593	3.8693007839882863	0.2507960633599995	0.2300707633378425	0.25221812022822354	0.26691505307393454	1.0	-3537.827591091999	30.18379401418817
13000	-3515.420321861622	30.600229490551904	-3546.020551352174	0.04681724975683534	0.024640860381510397	0.13470636810267753	3.669541653881475	0.2507960633599995	0.2300707633378425	0.25221812022822354	0.26691505307393454	1.0	-3546.020551352174	31.066533239068317
14000	-3513.82550705683	29.173816143507874	-3542.9993232003376	0.054741506417007875	0.030687423872660227	0.10503011668725934	3.669541653881475	0.2507960633599995	0.2300707633378425	0.24773522907536352	0.2713979442267946	1.0	-3542.9993232003376	29.391269668160184
15000	-3508.383656658815	30.102477559230834	-3538.486134218046	0.05264357295337469	0.02554427359290083	0.1043481331599984	4.772833305260391	0.2571112777016378	0.22219571184493034	0.24929506622663739	0.2713979442267946	1.0	-3538.486134218046	30.648885723471324
16000	-3506.7282833933205	28.380608526193413	-3535.108891919514	0.05051123951400815	0.024941364072590295	0.07019803411799326	4.047473714503824	0.26025283794869597	0.21905415159787214	0.24929506622663739	0.2713979442267946	1.0	-3535.108891919514	28.31506150002835
17000	-3503.2767534187187	30.406937713089846	-3533.6836911318087	0.046229426606179645	0.025037986067057358	0.10149810770664502	4.047473714503824	0.26025283794869597	0.21537949731420275	0.25296972051030675	0.2713979442267946	1.0	-3533.6836911318087	30.710110535326095
18000	-3500.54664845757	30.82371923038318	-3531.370367687953	0.04777490191550516	0.024890041671807885	0.08210912321733342	3.9975914340496876	0.26025283794869597	0.21314607012865025	0.25296972051030675	0.2736313714123471	1.0	-3531.370367687953	30.899389879192462
19000	-3493.7296900526785	30.242635004472646	-3523.972325057151	0.051324825182934915	0.026130819938890295	0.10619322391086751	4.212015197703795	0.26819718727401237	0.21054426391060896	0.24502537118499035	0.2762331776303884	1.0	-3523.972325057151	30.641536913235228
20000	-3487.978743803934	29.213803659825544	-3517.1925474637596	0.0464488747231917	0.02490209129245454	0.13071771753979214	4.212015197703795	0.26341021123916203	0.21054426391060896	0.23639947884696424	0.2896460460032649	1.0	-3517.1925474637596	29.820485437076677
21000	-3483.0326507384	29.461797676804352	-3512.4944484152047	0.04881850411465291	0.02494225079139428	0.09055423358600961	4.212015197703795	0.26341021123916203	0.21054426391060896	0.23639947884696424	0.2896460460032649	1.0	-3512.4944484152047	29.70138822113852
22000	-3491.1242944838345	28.573103012305324	-3519.6973974961397	0.05507034024836398	0.027890366665022915	0.11623646976038826	4.212015197703795	0.26341021123916203	0.21054426391060896	0.23639947884696424	0.2896460460032649	1.0	-3519.6973974961397	29.06237126781388
23000	-3484.559939499491	29.956256539700114	-3514.516196039191	0.04743363063175771	0.028147919488477113	0.0989554376289005	4.212015197703795	0.26062949003441915	0.21054426391060896	0.23639947884696424	0.29242676720800775	1.0	-3514.516196039191	30.284567770510236
24000	-3477.1439519008545	29.503595222522254	-3506.6475471233766	0.04886497828541798	0.027463064812015707	0.09546601783719826	4.212015197703795	0.26101356294898104	0.20327894289632029	0.2366334486758209	0.2990740454788779	1.0	-3506.6475471233766	29.79600717949226
25000	-3480.48224153239	30.008352002135826	-3510.490593534526	0.04735429229999647	0.025400228664938768	0.08496424814351106	4.212015197703795	0.2686066541936667	0.19568585165163463	0.2366334486758209	0.2990740454788779	1.0	-3510.490593534526	30.184224167041357
26000	-3481.408980686274	29.549672526806955	-3510.958653213081	0.05169269283789911	0.02666542564772072	0.10774217833157393	4.212015197703795	0.2686066541936667	0.19568585165163463	0.2366334486758209	0.2990740454788779	1.0	-3510.958653213081	29.963055269238485
27000	-3479.777320519508	32.45416432319864	-3512.231484842707	0.041923472452826245	0.023381136418086503	0.10154060092986225	4.212015197703795	0.2686066541936667	0.19568585165163463	0.2366334486758209	0.2990740454788779	1.0	-3512.231484842707	32.80826465783213
28000	-3467.1302406607806	32.05167448039548	-3499.181915141176	0.04458247364822146	0.027664038997943088	0.09009731803249642	4.212015197703795	0.25969072635179435	0.19568585165163463	0.2366334486758209	0.30798997332075023	1.0	-3499.181915141176	32.28620648497456
29000	-3474.96885814943	31.941807871404063	-3506.910666020834	0.045908947316628215	0.02758465532472232	0.06453244818893604	4.212015197703795	0.25969072635179435	0.19568585165163463	0.2366334486758209	0.30798997332075023	1.0	-3506.910666020834	31.84261764837661
